sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,Placed
4813,F,67.7,Central,60.64,Central,Science,83.36,Sci&Tech,Yes,79.4,Mkt&HR,54.89,Placed,349749.259823577,Yes
4814,M,89.51,Others,72.64,Central,Science,58.83,Sci&Tech,No,54.8,Mkt&Fin,82.05,Placed,473159,Yes
4815,F,68.87,Others,98.81,Others,Science,76.39,Arts,No,54.2,Mkt&Fin,83.62,Not Placed,349749.259823577,No
4816,F,54.75,Others,80.3,Others,Science,58.96,Sci&Tech,No,97.53,Mkt&Fin,55.28,Placed,442319,Yes
4817,M,91.53,Central,87.02,Others,Arts,76.58,Sci&Tech,No,97.18,Mkt&Fin,75.19,Placed,349749.259823577,Yes
4818,F,68.76,Others,59.75,Others,Arts,87.84,Comm&Mgmt,No,80.63,Mkt&Fin,82.99,Not Placed,400011,No
4819,F,86.81,Central,56.42,Central,Science,88.15,Arts,Yes,88.9,Mkt&HR,90.75,Not Placed,349749.259823577,No
4820,F,71.63,Central,80.71,Central,Commerce,53.76,Sci&Tech,Yes,88.31,Mkt&Fin,89.22,Not Placed,349749.259823577,No
4821,M,50.79,Others,69.4,Central,Commerce,67.5,Arts,No,76.92,Mkt&Fin,87.73,Placed,349749.259823577,Yes
4822,M,99.33,Central,80.93,Central,Science,64.18,Sci&Tech,No,52.17,Mkt&HR,58.06,Not Placed,349749.259823577,No
4823,M,56.76,Others,69.62,Central,Commerce,56.72,Arts,No,71.13,Mkt&Fin,95.92,Placed,278606,Yes
4824,M,68.93,Others,66.85,Others,Arts,54.92,Sci&Tech,Yes,90.8,Mkt&HR,64.42,Not Placed,349749.259823577,No
4825,M,59.54,Others,75.74,Central,Arts,58.4,Sci&Tech,Yes,80.16,Mkt&HR,85.73,Placed,349749.259823577,Yes
4826,M,85.76,Others,63.15,Others,Science,69.66,Sci&Tech,Yes,50.49,Mkt&Fin,59.48,Not Placed,298735,No
4827,F,58.6,Others,75.48,Central,Arts,64.7,Sci&Tech,No,89.74,Mkt&Fin,58.41,Not Placed,349749.259823577,No
4828,M,50.2,Others,73.77,Others,Science,60.7,Arts,Yes,88.71,Mkt&Fin,74.2,Not Placed,349749.259823577,No
4829,M,94.22,Others,60.4,Central,Commerce,91.19,Sci&Tech,No,66.47,Mkt&HR,73.56,Not Placed,349749.259823577,No
4830,M,98.91,Others,52.19,Central,Commerce,85.32,Arts,Yes,72.91,Mkt&Fin,84.53,Placed,349749.259823577,Yes
4831,M,67.98,Central,56.85,Central,Commerce,63.52,Comm&Mgmt,No,58.4,Mkt&Fin,88.98,Not Placed,349749.259823577,No
4832,F,64.45,Others,64.59,Central,Science,71.73,Comm&Mgmt,No,82.7,Mkt&Fin,55.73,Not Placed,291923,No
4833,M,88.9,Central,77.1,Others,Science,89.26,Sci&Tech,Yes,97.1,Mkt&HR,57.23,Not Placed,374858,No
4834,M,92.72,Central,69.79,Central,Science,97.36,Comm&Mgmt,Yes,53.74,Mkt&HR,73.11,Placed,296327,Yes
4835,F,78.99,Central,86.32,Others,Science,58.99,Comm&Mgmt,No,55.61,Mkt&Fin,56.41,Not Placed,349749.259823577,No
4836,F,63.64,Central,84.12,Central,Arts,90.88,Sci&Tech,Yes,87.33,Mkt&HR,64.09,Placed,349749.259823577,Yes
4837,F,50.08,Central,60.49,Others,Science,99.24,Sci&Tech,Yes,55.44,Mkt&HR,63.6,Not Placed,349749.259823577,No
4838,M,62.3,Others,75.31,Others,Arts,56.79,Sci&Tech,Yes,95.54,Mkt&HR,70.48,Placed,349749.259823577,Yes
4839,F,95.73,Central,72.5,Others,Commerce,80.83,Comm&Mgmt,No,61.24,Mkt&Fin,52.91,Placed,416507,Yes
4840,M,85.99,Others,65.09,Central,Science,84.1,Arts,No,92.69,Mkt&Fin,59.76,Not Placed,349749.259823577,No
4841,M,83.26,Central,71.43,Others,Commerce,71.57,Comm&Mgmt,Yes,55.23,Mkt&Fin,73,Not Placed,349749.259823577,No
4842,F,91.32,Central,90.05,Others,Arts,63.19,Sci&Tech,No,89.35,Mkt&Fin,54.54,Placed,349749.259823577,Yes
4843,F,58.07,Others,73.49,Others,Commerce,77.35,Comm&Mgmt,No,70.14,Mkt&HR,85.77,Not Placed,349749.259823577,No
4844,F,81.33,Central,68.8,Others,Science,57.41,Comm&Mgmt,No,82.48,Mkt&HR,99.71,Not Placed,349749.259823577,No
4845,F,87,Central,62.35,Central,Arts,71.58,Sci&Tech,No,50.36,Mkt&Fin,78.9,Placed,349749.259823577,Yes
4846,F,58.71,Others,69.73,Central,Commerce,97.02,Comm&Mgmt,No,77.07,Mkt&HR,85.86,Not Placed,444210,No
4847,F,69.45,Central,67.17,Central,Commerce,95.2,Comm&Mgmt,Yes,89.17,Mkt&HR,73.12,Not Placed,349749.259823577,No
4848,F,77.86,Central,92.09,Central,Commerce,76.49,Comm&Mgmt,Yes,54.72,Mkt&Fin,83.87,Placed,349749.259823577,Yes
4849,F,65.37,Others,88.69,Others,Commerce,57.74,Sci&Tech,No,87.64,Mkt&HR,83.02,Placed,349749.259823577,Yes
4850,M,54.06,Others,90.58,Central,Science,77.01,Comm&Mgmt,Yes,80.04,Mkt&HR,99.4,Not Placed,349749.259823577,No
4851,M,89.66,Others,74.85,Central,Commerce,69.98,Sci&Tech,Yes,95.81,Mkt&HR,66.13,Not Placed,349749.259823577,No
4852,M,68.93,Central,96.57,Central,Arts,83.77,Comm&Mgmt,No,84.38,Mkt&Fin,73.54,Placed,349749.259823577,Yes
4853,F,70.38,Central,80.45,Others,Science,93.43,Arts,No,95.11,Mkt&HR,69.19,Placed,349749.259823577,Yes
4854,F,63.7,Others,51.19,Others,Arts,99.38,Arts,No,54.67,Mkt&HR,93.9,Not Placed,349749.259823577,No
4855,M,69.57,Others,60.52,Others,Commerce,99.81,Arts,No,73.3,Mkt&Fin,59.17,Placed,349749.259823577,Yes
4856,M,99.51,Others,86.22,Others,Science,75.14,Arts,No,88.3,Mkt&Fin,83,Not Placed,349749.259823577,No
4857,F,89.76,Others,89.95,Others,Science,91.09,Comm&Mgmt,Yes,94.03,Mkt&Fin,58.74,Not Placed,349749.259823577,No
4858,F,77.41,Others,57.75,Others,Commerce,91.42,Sci&Tech,Yes,86.56,Mkt&HR,73.74,Not Placed,349749.259823577,No
4859,F,55.59,Others,76.69,Central,Arts,97.81,Sci&Tech,Yes,57.53,Mkt&Fin,97.27,Not Placed,349749.259823577,No
4860,M,58.08,Others,75.98,Others,Science,59.79,Arts,No,92.61,Mkt&Fin,64.97,Placed,349749.259823577,Yes
4861,F,76.86,Central,58.3,Central,Commerce,57.99,Sci&Tech,No,94.87,Mkt&Fin,73.17,Placed,349749.259823577,Yes
4862,F,88.34,Others,79.23,Others,Arts,71.32,Arts,No,65.17,Mkt&Fin,90.03,Not Placed,394773,No
4863,F,86.26,Central,81.07,Central,Arts,57.52,Comm&Mgmt,No,94.62,Mkt&HR,55.33,Not Placed,349749.259823577,No
4864,F,59.22,Central,76.67,Central,Commerce,64.18,Comm&Mgmt,No,74.06,Mkt&HR,77.96,Not Placed,349749.259823577,No
4865,F,74.42,Others,96.78,Others,Science,81.74,Comm&Mgmt,No,85.29,Mkt&Fin,84.34,Placed,349749.259823577,Yes
4866,F,73.54,Others,81.18,Central,Science,98.95,Comm&Mgmt,Yes,72.84,Mkt&HR,75.9,Placed,349749.259823577,Yes
4867,M,96.6,Others,59.65,Others,Commerce,81.69,Arts,No,54.75,Mkt&Fin,90.94,Not Placed,349749.259823577,No
4868,F,64.35,Central,68.84,Others,Science,81.89,Sci&Tech,Yes,85.89,Mkt&Fin,59.57,Placed,349749.259823577,Yes
4869,M,98.75,Others,62.1,Others,Science,93.35,Sci&Tech,Yes,67.34,Mkt&Fin,98.03,Not Placed,349749.259823577,No
4870,F,64.09,Central,71.9,Central,Commerce,94.57,Comm&Mgmt,Yes,51.11,Mkt&Fin,62.02,Placed,349749.259823577,Yes
4871,M,94.12,Central,73.43,Central,Science,83.44,Sci&Tech,No,64.53,Mkt&HR,89.06,Placed,349749.259823577,Yes
4872,F,91.45,Others,95.01,Others,Science,72.94,Arts,No,87.27,Mkt&Fin,80.89,Placed,349749.259823577,Yes
4873,M,54.37,Others,68.36,Others,Science,57.44,Sci&Tech,Yes,89.84,Mkt&Fin,95.05,Not Placed,349749.259823577,No
4874,M,92.74,Others,94.31,Others,Commerce,97.08,Sci&Tech,Yes,61.18,Mkt&HR,82.88,Placed,349749.259823577,Yes
4875,F,91.77,Others,93.61,Central,Arts,87.32,Arts,No,78.27,Mkt&Fin,65.51,Not Placed,349749.259823577,No
4876,F,60.75,Central,50.71,Central,Commerce,57.36,Arts,No,82.23,Mkt&HR,85.48,Not Placed,349749.259823577,No
4877,M,62.52,Others,85.75,Central,Commerce,70.91,Arts,No,83.69,Mkt&Fin,79.76,Not Placed,349749.259823577,No
4878,M,63.1,Central,51.5,Central,Arts,79.01,Comm&Mgmt,No,59.8,Mkt&Fin,62.29,Placed,349749.259823577,Yes
4879,M,78.78,Central,56.41,Central,Commerce,61.22,Arts,Yes,77.83,Mkt&Fin,51.48,Placed,349749.259823577,Yes
4880,M,62.59,Others,86.38,Central,Science,85.13,Comm&Mgmt,No,66.4,Mkt&HR,78.43,Placed,349749.259823577,Yes
4881,M,83.99,Others,83.63,Central,Commerce,76.3,Comm&Mgmt,No,92.24,Mkt&Fin,55.35,Not Placed,349749.259823577,No
4882,M,87.42,Others,86.09,Others,Science,78.11,Arts,No,61.71,Mkt&HR,59.35,Placed,349749.259823577,Yes
4883,F,54.48,Central,51.18,Others,Commerce,75.42,Sci&Tech,No,86.53,Mkt&Fin,72.42,Placed,349749.259823577,Yes
4884,M,96.55,Others,82.11,Central,Commerce,58.4,Arts,Yes,61.51,Mkt&Fin,78.15,Placed,339489,Yes
4885,M,65.56,Central,70.44,Others,Science,69.35,Sci&Tech,No,86.28,Mkt&Fin,82.35,Not Placed,349749.259823577,No
4886,F,68.02,Central,64.25,Others,Commerce,66.54,Comm&Mgmt,No,70.89,Mkt&HR,65.91,Placed,349749.259823577,Yes
4887,F,79.04,Central,65.57,Central,Science,66.97,Sci&Tech,No,73.61,Mkt&HR,94,Not Placed,349749.259823577,No
4888,M,54.33,Central,97.76,Others,Science,83.65,Arts,No,91.85,Mkt&Fin,94.21,Placed,294908,Yes
4889,M,60.41,Others,57.35,Others,Science,73.99,Sci&Tech,Yes,94.07,Mkt&HR,67.86,Placed,349749.259823577,Yes
4890,F,75.04,Others,67.81,Central,Arts,62.43,Comm&Mgmt,Yes,95.68,Mkt&Fin,62.49,Not Placed,349749.259823577,No
4891,F,76.82,Central,95.3,Others,Arts,89.32,Comm&Mgmt,Yes,55.29,Mkt&HR,55.84,Placed,349749.259823577,Yes
4892,M,50.86,Central,76.89,Central,Commerce,67.86,Comm&Mgmt,No,67.44,Mkt&HR,86.58,Not Placed,349749.259823577,No
4893,F,96.55,Central,79.02,Central,Commerce,87.77,Arts,No,72.09,Mkt&Fin,90.49,Not Placed,349749.259823577,No
4894,F,64.56,Central,63.15,Others,Science,81.69,Sci&Tech,Yes,80.22,Mkt&HR,93.12,Placed,349749.259823577,Yes
4895,F,69.32,Central,68.29,Central,Science,88.87,Sci&Tech,No,96.9,Mkt&HR,60.24,Not Placed,478981,No
4896,M,89.17,Central,69.62,Others,Commerce,65.84,Sci&Tech,Yes,97.71,Mkt&HR,80.71,Not Placed,349749.259823577,No
4897,F,72.41,Central,99.4,Central,Arts,57.76,Arts,Yes,51.15,Mkt&HR,65.09,Placed,349749.259823577,Yes
4898,F,51.51,Central,84.33,Central,Science,98.79,Arts,Yes,52.72,Mkt&HR,93.52,Not Placed,349749.259823577,No
4899,M,73.57,Central,89.55,Central,Arts,71.08,Comm&Mgmt,No,87.31,Mkt&HR,69.38,Not Placed,349749.259823577,No
4900,M,72.17,Others,58.22,Others,Arts,65.79,Sci&Tech,No,61.43,Mkt&Fin,99.29,Placed,349749.259823577,Yes
4901,F,73.45,Central,81.28,Others,Science,81.15,Sci&Tech,No,62.57,Mkt&HR,97.52,Placed,349749.259823577,Yes
4902,F,79.79,Central,75.27,Central,Science,86.98,Arts,No,78.28,Mkt&HR,54.33,Not Placed,349749.259823577,No
4903,M,60.24,Others,74.94,Others,Science,67.69,Sci&Tech,Yes,75.68,Mkt&Fin,74.72,Placed,349749.259823577,Yes
4904,F,85.89,Others,89.53,Central,Arts,54.17,Arts,No,70.17,Mkt&HR,55.58,Placed,349749.259823577,Yes
4905,M,68.46,Others,87.35,Central,Science,68.19,Arts,Yes,59.31,Mkt&Fin,68.85,Placed,349749.259823577,Yes
4906,M,84.92,Others,58.23,Others,Science,96.92,Sci&Tech,Yes,90.37,Mkt&HR,68.53,Placed,349749.259823577,Yes
4907,F,82.75,Others,56.01,Others,Arts,69.25,Sci&Tech,No,80.95,Mkt&Fin,67.88,Placed,349749.259823577,Yes
4908,M,74.65,Others,68.17,Central,Arts,96.59,Comm&Mgmt,Yes,64.86,Mkt&HR,54.9,Not Placed,349749.259823577,No
4909,F,91.02,Central,72.15,Others,Commerce,72.12,Comm&Mgmt,Yes,79.82,Mkt&Fin,53.58,Not Placed,349749.259823577,No
4910,M,56.42,Others,71.46,Others,Arts,83.01,Arts,No,77.17,Mkt&Fin,63.57,Placed,349749.259823577,Yes
4911,M,85.59,Others,99.66,Others,Science,80.36,Comm&Mgmt,No,71.41,Mkt&HR,74.44,Not Placed,349749.259823577,No
4912,M,73.68,Others,76.03,Others,Science,90.71,Arts,No,63.06,Mkt&Fin,76.74,Placed,349749.259823577,Yes
4913,F,71.62,Others,91.28,Central,Commerce,92.48,Sci&Tech,Yes,78.56,Mkt&Fin,61.77,Placed,349749.259823577,Yes
4914,M,75.42,Central,82.01,Central,Arts,90.21,Comm&Mgmt,No,91.97,Mkt&Fin,79.05,Placed,446844,Yes
4915,F,70.9,Central,77.44,Others,Science,97.07,Sci&Tech,Yes,80.51,Mkt&HR,78.05,Not Placed,349749.259823577,No
4916,M,66.06,Others,66.28,Central,Arts,72.04,Arts,Yes,63.51,Mkt&HR,62.23,Not Placed,349749.259823577,No
4917,F,88.59,Central,81.17,Central,Arts,60.57,Arts,Yes,60.36,Mkt&HR,91.47,Placed,349749.259823577,Yes
4918,M,86.15,Others,52.62,Central,Science,79.41,Arts,No,62.68,Mkt&Fin,81.99,Not Placed,349749.259823577,No
4919,F,50.56,Central,64.68,Others,Science,81.66,Arts,No,52.2,Mkt&HR,93.22,Not Placed,349749.259823577,No
4920,M,75.37,Others,83.1,Others,Science,54.75,Sci&Tech,Yes,91.24,Mkt&HR,67.16,Placed,349749.259823577,Yes
4921,F,65.39,Others,90.74,Central,Science,97.53,Arts,No,75.49,Mkt&Fin,57.57,Placed,383011,Yes
4922,F,76.48,Others,54.13,Central,Commerce,58.36,Sci&Tech,Yes,55.73,Mkt&Fin,75.96,Placed,224689,Yes
4923,M,86.41,Central,67.27,Central,Commerce,66.33,Arts,No,76.95,Mkt&Fin,69.5,Not Placed,349749.259823577,No
4924,M,61.19,Others,91.6,Others,Commerce,83.72,Comm&Mgmt,Yes,56.54,Mkt&HR,80.06,Not Placed,349749.259823577,No
4925,F,74.81,Central,91.39,Others,Science,68.09,Comm&Mgmt,No,62.63,Mkt&Fin,60.89,Placed,349749.259823577,Yes
4926,M,73.25,Others,82.14,Others,Science,53.64,Sci&Tech,No,62.7,Mkt&Fin,88.21,Placed,349749.259823577,Yes
4927,M,64.1,Central,83.19,Others,Arts,84.53,Arts,Yes,93.88,Mkt&Fin,69.61,Not Placed,349749.259823577,No
4928,M,68.39,Others,52.61,Others,Commerce,84.77,Arts,No,52.57,Mkt&HR,89.09,Not Placed,349749.259823577,No
4929,F,52.15,Central,93.16,Central,Commerce,92.44,Sci&Tech,Yes,57.29,Mkt&Fin,53.44,Placed,349749.259823577,Yes
4930,F,94.84,Others,56.91,Others,Science,91.66,Sci&Tech,Yes,76.52,Mkt&HR,93.75,Placed,349749.259823577,Yes
4931,F,85.34,Central,59.67,Others,Arts,60.06,Comm&Mgmt,Yes,91.49,Mkt&HR,70.29,Placed,349749.259823577,Yes
4932,F,90.82,Others,78.73,Central,Arts,88.23,Sci&Tech,Yes,90.71,Mkt&HR,82.47,Not Placed,349749.259823577,No
4933,M,65.07,Central,92.89,Central,Arts,71.69,Sci&Tech,Yes,85.83,Mkt&HR,91.9,Not Placed,349749.259823577,No
4934,M,92.44,Central,88.84,Others,Science,91.84,Comm&Mgmt,Yes,70.8,Mkt&HR,51.92,Not Placed,333923,No
4935,M,84.1,Central,85.09,Others,Commerce,78.42,Comm&Mgmt,Yes,82.62,Mkt&HR,55.04,Not Placed,349749.259823577,No
4936,M,54.48,Central,54.56,Others,Science,57.58,Sci&Tech,Yes,60.76,Mkt&HR,96.07,Placed,349749.259823577,Yes
4937,F,61.16,Central,86.42,Others,Arts,67.96,Sci&Tech,No,83.4,Mkt&Fin,94.78,Placed,347611,Yes
4938,F,82.17,Central,58.86,Others,Science,63.8,Sci&Tech,No,78.35,Mkt&Fin,52.83,Not Placed,349749.259823577,No
4939,F,96.97,Central,80.31,Central,Arts,50.94,Arts,No,50.62,Mkt&Fin,58.72,Not Placed,349749.259823577,No
4940,F,73.59,Central,60.05,Central,Arts,99.77,Arts,No,88.59,Mkt&Fin,59.05,Placed,330975,Yes
4941,M,90.2,Central,94.14,Central,Commerce,79.57,Comm&Mgmt,No,78.62,Mkt&Fin,57.17,Placed,349749.259823577,Yes
4942,F,51.47,Others,66.52,Others,Science,59.93,Arts,Yes,64.76,Mkt&HR,68.51,Not Placed,349749.259823577,No
4943,M,54.25,Central,81.73,Others,Science,85.67,Comm&Mgmt,Yes,90.84,Mkt&Fin,58.24,Placed,442370,Yes
4944,M,72.33,Others,59.86,Central,Arts,77.49,Comm&Mgmt,No,88.25,Mkt&HR,64.98,Not Placed,349749.259823577,No
4945,F,82.13,Others,89.4,Others,Science,95.92,Comm&Mgmt,Yes,85.7,Mkt&Fin,72.52,Placed,349749.259823577,Yes
4946,F,86.52,Central,94.33,Others,Science,87.42,Sci&Tech,Yes,75.43,Mkt&Fin,92.99,Placed,349749.259823577,Yes
4947,F,96.25,Others,70.68,Others,Commerce,64.54,Sci&Tech,No,54.88,Mkt&HR,93.81,Placed,349749.259823577,Yes
4948,F,83.16,Others,87.09,Central,Science,72.81,Arts,Yes,64.84,Mkt&Fin,93.39,Placed,349749.259823577,Yes
4949,M,85.52,Others,50.34,Central,Commerce,97.19,Comm&Mgmt,No,51.97,Mkt&Fin,73.57,Not Placed,349749.259823577,No
4950,M,95.2,Others,71.28,Others,Science,82.89,Arts,No,96.05,Mkt&Fin,80.6,Placed,349749.259823577,Yes
4951,F,61.21,Central,60.84,Others,Arts,88.94,Arts,Yes,67.06,Mkt&Fin,69.38,Placed,319303,Yes
4952,F,93.57,Central,73.39,Central,Commerce,54.92,Sci&Tech,Yes,89.71,Mkt&HR,61.93,Not Placed,349749.259823577,No
4953,F,93.91,Others,74.59,Central,Commerce,87.32,Sci&Tech,No,68.29,Mkt&Fin,53.84,Not Placed,349749.259823577,No
4954,M,92.74,Central,57.73,Others,Science,78.66,Comm&Mgmt,Yes,62.97,Mkt&HR,73.83,Not Placed,349749.259823577,No
4955,M,70.13,Central,78.5,Others,Arts,89.16,Sci&Tech,No,59.85,Mkt&HR,73.63,Not Placed,366418,No
4956,M,74.4,Central,92.88,Central,Commerce,54.24,Comm&Mgmt,No,92.51,Mkt&Fin,90.15,Placed,450218,Yes
4957,M,70.11,Central,82.81,Others,Commerce,83.18,Arts,Yes,70.35,Mkt&HR,85.81,Placed,349749.259823577,Yes
4958,F,75.01,Central,87.05,Central,Commerce,50.69,Comm&Mgmt,No,86,Mkt&HR,54.06,Placed,349749.259823577,Yes
4959,F,98.55,Others,52.27,Central,Commerce,50.7,Comm&Mgmt,No,73.37,Mkt&Fin,80.68,Not Placed,349749.259823577,No
4960,M,93.77,Central,99.45,Central,Science,50.62,Sci&Tech,No,74.91,Mkt&HR,57.44,Not Placed,349749.259823577,No
4961,M,61.44,Others,93.08,Central,Science,61.85,Arts,No,88.87,Mkt&HR,62.13,Not Placed,349749.259823577,No
4962,M,82.21,Central,76.03,Central,Commerce,62.09,Comm&Mgmt,No,78.48,Mkt&HR,95.28,Placed,349749.259823577,Yes
4963,F,87.24,Central,85.75,Central,Science,71.53,Sci&Tech,No,94.13,Mkt&HR,61.06,Placed,349749.259823577,Yes
4964,M,60.3,Central,59.44,Central,Arts,88.03,Sci&Tech,No,60.62,Mkt&HR,52.94,Placed,349749.259823577,Yes
4965,F,91.86,Central,82.06,Central,Science,62.86,Sci&Tech,No,57.31,Mkt&Fin,89.95,Not Placed,349749.259823577,No
4966,M,51,Central,72.97,Central,Science,77.32,Comm&Mgmt,No,58.31,Mkt&Fin,86.7,Placed,349749.259823577,Yes
4967,M,63.72,Central,75.38,Others,Arts,63.85,Arts,No,83.19,Mkt&HR,75,Placed,349749.259823577,Yes
4968,M,81.85,Central,51.76,Central,Commerce,87.72,Arts,Yes,87.06,Mkt&Fin,92.9,Not Placed,349749.259823577,No
4969,M,97.88,Central,90.49,Others,Commerce,95.26,Sci&Tech,Yes,69.39,Mkt&HR,77.94,Not Placed,349749.259823577,No
4970,M,99.05,Others,88.87,Central,Science,98.25,Arts,Yes,96.63,Mkt&Fin,52.14,Not Placed,349749.259823577,No
4971,M,66.53,Others,92.98,Others,Arts,84.48,Comm&Mgmt,No,61.21,Mkt&HR,89,Not Placed,413087,No
4972,M,60.87,Others,61.72,Others,Science,89.75,Comm&Mgmt,Yes,65.98,Mkt&HR,58.99,Placed,469244,Yes
4973,F,73.64,Central,84.68,Central,Arts,53.91,Arts,Yes,62.54,Mkt&HR,55.78,Not Placed,349749.259823577,No
4974,F,86.07,Others,61.4,Others,Arts,94.81,Comm&Mgmt,No,79.34,Mkt&Fin,61.6,Placed,349749.259823577,Yes
4975,M,61.73,Central,58.85,Central,Arts,90.57,Sci&Tech,No,66.02,Mkt&HR,98.48,Placed,349749.259823577,Yes
4976,F,53.96,Others,89.1,Others,Commerce,83.76,Arts,No,63.66,Mkt&HR,76.57,Placed,349749.259823577,Yes
4977,M,86.64,Others,96.59,Others,Science,50.86,Sci&Tech,No,62.49,Mkt&Fin,57.49,Placed,349749.259823577,Yes
4978,M,62.76,Central,84.04,Others,Commerce,68.32,Arts,Yes,80.18,Mkt&Fin,64.52,Not Placed,349749.259823577,No
4979,M,99.48,Others,55.13,Central,Commerce,99.44,Sci&Tech,Yes,57.62,Mkt&HR,71.62,Placed,259157,Yes
4980,F,55.33,Central,74.8,Central,Arts,94.05,Sci&Tech,Yes,69.54,Mkt&Fin,69.96,Not Placed,349749.259823577,No
4981,F,88.48,Central,75.69,Others,Arts,97.3,Sci&Tech,No,62.22,Mkt&Fin,68.99,Placed,349749.259823577,Yes
4982,M,92.74,Central,51.13,Central,Arts,88.85,Arts,Yes,53.62,Mkt&Fin,56.45,Not Placed,349749.259823577,No
4983,F,87.87,Central,62.63,Central,Commerce,75.55,Arts,No,87.96,Mkt&HR,54.39,Not Placed,349749.259823577,No
4984,F,94.15,Others,86.63,Others,Commerce,53.12,Arts,Yes,51.33,Mkt&HR,54.06,Placed,325516,Yes
4985,M,64.57,Others,53.53,Central,Science,70.26,Sci&Tech,No,57.39,Mkt&Fin,66.42,Placed,349749.259823577,Yes
4986,M,78.48,Others,83.58,Central,Science,94.55,Sci&Tech,No,90.85,Mkt&Fin,78.51,Not Placed,349749.259823577,No
4987,F,53.07,Others,84.95,Others,Science,97.84,Arts,No,81.85,Mkt&HR,95.1,Placed,251896,Yes
4988,F,54.09,Others,89.12,Others,Commerce,76.81,Sci&Tech,Yes,50.41,Mkt&Fin,86.05,Not Placed,349749.259823577,No
4989,F,88.88,Others,71.52,Central,Science,67.16,Comm&Mgmt,No,72.77,Mkt&HR,91.05,Placed,349749.259823577,Yes
4990,M,82.17,Others,90.38,Central,Arts,53.3,Arts,No,79.22,Mkt&Fin,52.41,Not Placed,349749.259823577,No
4991,M,76.36,Others,71.88,Central,Commerce,73.25,Comm&Mgmt,Yes,90.34,Mkt&HR,90.73,Not Placed,349749.259823577,No
4992,F,88.6,Central,50.88,Others,Arts,95.92,Sci&Tech,No,58.82,Mkt&HR,50.22,Placed,349749.259823577,Yes
4993,M,74.37,Others,78.16,Central,Science,84.95,Arts,No,76.27,Mkt&HR,66.62,Not Placed,349749.259823577,No
4994,F,75.77,Central,64.56,Central,Commerce,63.18,Arts,Yes,89.38,Mkt&HR,96.6,Placed,349749.259823577,Yes
4995,M,85.4,Central,85.49,Central,Arts,68.02,Comm&Mgmt,Yes,98.75,Mkt&HR,69.31,Not Placed,374439,No
4996,M,87.46,Central,74.97,Central,Arts,78.48,Comm&Mgmt,No,75.7,Mkt&Fin,72.58,Not Placed,332824,No
4997,M,89.94,Central,51.4,Others,Commerce,60.36,Arts,No,72.36,Mkt&HR,66.06,Placed,349749.259823577,Yes
4998,M,82.84,Others,72.62,Others,Commerce,80.51,Arts,No,98.56,Mkt&HR,53.41,Placed,349749.259823577,Yes
4999,M,50.77,Others,61.03,Central,Arts,66.08,Arts,No,72.86,Mkt&HR,67.53,Placed,349749.259823577,Yes
5000,M,90.49,Central,64.65,Central,Science,61.69,Comm&Mgmt,No,81.11,Mkt&HR,74.34,Placed,349749.259823577,Yes
5001,M,64.52,Central,75.9,Central,Science,50.87,Comm&Mgmt,Yes,96.75,Mkt&HR,85.38,Placed,349749.259823577,Yes
5002,F,61.53,Others,75.39,Central,Arts,81.6,Comm&Mgmt,No,68.99,Mkt&HR,61.71,Not Placed,349749.259823577,No
5003,M,54.7,Others,57.25,Others,Commerce,66.23,Arts,Yes,72.81,Mkt&HR,50.31,Placed,349749.259823577,Yes
5004,F,96.03,Others,59.92,Central,Commerce,53.42,Arts,Yes,98.77,Mkt&Fin,92.04,Not Placed,349749.259823577,No
5005,M,81.49,Others,83.04,Others,Arts,91.2,Sci&Tech,Yes,90.06,Mkt&Fin,58.95,Not Placed,451976,No
5006,M,80.63,Central,62.46,Central,Science,90.24,Sci&Tech,Yes,71.88,Mkt&HR,91.97,Not Placed,349749.259823577,No
5007,M,55.92,Central,80.21,Central,Arts,65.96,Comm&Mgmt,No,85.65,Mkt&HR,81.71,Not Placed,349749.259823577,No
5008,F,54.8,Others,81.02,Others,Commerce,54.6,Comm&Mgmt,No,84.79,Mkt&HR,67.61,Not Placed,349749.259823577,No
5009,M,98.03,Others,99.76,Others,Commerce,80.17,Arts,Yes,76.27,Mkt&HR,60.22,Not Placed,349749.259823577,No
5010,F,52.14,Central,55.57,Central,Science,89.75,Sci&Tech,No,60.04,Mkt&Fin,86.85,Not Placed,333180,No
5011,M,58.71,Others,90.79,Central,Commerce,56.65,Comm&Mgmt,No,86.13,Mkt&Fin,93.61,Placed,349749.259823577,Yes
5012,M,92.24,Central,51.78,Others,Commerce,93.8,Comm&Mgmt,No,83.13,Mkt&HR,90.79,Not Placed,349749.259823577,No
5013,M,96.89,Others,97.31,Others,Science,88.5,Comm&Mgmt,No,76.28,Mkt&HR,82.52,Placed,349749.259823577,Yes
5014,M,96.27,Others,71.18,Others,Commerce,61.52,Sci&Tech,No,64.27,Mkt&Fin,97.97,Not Placed,349749.259823577,No
5015,F,72.87,Central,79.94,Others,Arts,96.56,Sci&Tech,Yes,73.52,Mkt&Fin,66.15,Not Placed,349749.259823577,No
5016,F,56.48,Central,58.22,Central,Science,78.07,Arts,Yes,69.74,Mkt&HR,51.38,Placed,349749.259823577,Yes
5017,F,62.2,Central,85.31,Others,Science,75.62,Comm&Mgmt,Yes,88.81,Mkt&HR,59.23,Placed,349749.259823577,Yes
